Galatasaray
Fenerbahce
Besiktas
Trabzon
Gumushane
Siran
Barcelona
Real Madrid
Liverpool
Juventus
Gençlerbirliği
Ankaragücü
Porto
Benfica
Parma
Roma
Rangers
Onerdo
