Tc,IsimSoyisim,Maas,Uyruk,DogumTarihi
130,Alex Iwobi,72000,Nigeria,1996-05-03
131,Jean-Philippe Gbamin,65000,England,1995-09-25
132,Angeliño,91000,Spain,1997-01-04
133,James Maddison,72000,England,1996-11-23
134,Richarlison,72000,Brazil,1997-05-10
135,Eric Dier,77000,England,1994-01-15
136,Leandro Trossard,53000,England,1994-12-04
137,Jonny Otto,72000,Spain,1994-03-03
138,Jefferson Lerma,55000,Colombia,1994-10-25
139,Ross Barkley,98000,England,1993-12-05
140,James Tarkowski,39000,England,1992-11-19
141,Nick Pope,32000,England,1992-04-19
142,Michy Batshuayi,110000,England,1993-10-02
143,Sead Kolasinac,76000,Bosnia-Herzegovina,1993-06-20
144,Fabian Schär,43000,Switzerland,1991-12-20
145,Fabián Balbuena,76000,Paraguay,1991-08-23
146,Shkodran Mustafi,76000,England,1992-04-17
147,Willy Boly,80000,"France ",1991-02-03
148,Ben Davies,81000,Wales,1993-04-24
149,Fred,110000,Brazil,1993-03-05
150,Mamadou Sakho,58000,England,1990-02-13
151,Joshua King,77000,Norway,1992-01-15
152,Phil Jones,100000,England,1992-02-21
153,Serge Aurier,81000,Spain,1992-12-24
154,Jonny Evans,76000,Northern,1988-01-03
155,Nacho Monreal,76000,Spain,1986-02-26
156,Seamus Coleman,76000,Ireland,1988-10-11
157,Adam Lallana,89000,England,1988-05-10
158,Jack Wilshere,83000,England,1992-01-01
159,Vicente Guaita,45000,Spain,1987-01-10
160,Andrii Yarmolenko,87000,Ukraine,1989-10-23
161,Cédric Soares,19000,Portugal,1991-08-31
162,Ismaïla Sarr,47000,England,1998-02-25
163,Declan Rice,49000,England,1999-01-14
164,Issa Diop,59000,France,1997-01-09
165,Oleksandr Zinchenko,82000,Ukraine,1996-12-15
166,Leander Dendoncker,66000,England,1995-04-15
167,Joelinton,41000,Brazil,1996-08-14
168,Divock Origi,77000,Belgium,1995-04-18
169,Yerry Mina,59000,Colombia,1994-09-23
170,Jamaal Lascelles,37000,England,1993-11-11
171,Ibrahim Amadou,46000,England,1993-04-06
172,Max Meyer,48000,Germany,1995-09-18
173,Shane Duffy,46000,Ireland,1992-01-01
174,Florian Lejeune,41000,France,1991-05-20
175,Lewis Dunk,46000,England,1991-11-21
176,Victor Wanyama,77000,Kenya,1991-06-25
177,Christian Kabasele,61000,England,1991-02-24
178,Matt Doherty,69000,Ireland,1992-01-16
179,Jannik Vestergaard,51000,England,1992-08-03
180,Ryan Bertrand,53000,England,1989-08-05
181,James Tomkins,51000,England,1989-03-29
182,Chicharito,82000,Mexico,1988-06-01
183,José Holebas,42000,Greece,1984-06-27
184,Troy Deeney,69000,England,1988-06-29
185,Danny Welbeck,72000,England,1990-11-26
186,Ashley Barnes,44000,England,1989-10-30
